"TABLE ID","IDENTIFIER","TEXT"
"TSFAE20c","FOOTNOTE1","Note:  n=number of subjects with at least one event, Ns=total number of subjects for each specific subgroup"
"TSFAE21a","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Severity; Safety Analysis Set (Study jjcs - core)"
"TSFAE21a","FOOTNOTE1","Note:  Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event. The event experienced by the subject with the worst severity is used. If a subject has missing severity for a specific adverse event, the subject is only counted in the total column for that adverse event."
"TSFAE21a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE21b","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Toxicity Grade; Safety Analysis Set (Study jjcs - core)"
"TSFAE21b","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event. The event experienced by the subject with the worst toxicity is used. If a subject has missing toxicity for a specific adverse event, the subject is only counted in the total column for that adverse event."
"TSFAE21b","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE21c","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Severity; Safety Analysis Set (Study jjcs - core)"
"TSFAE21c","FOOTNOTE1","Note:  Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event. The event experienced by the subject with the worst severity is used."
"TSFAE21c","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE21d","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Toxicity Grade; Safety Analysis Set (Study jjcs - core)"
"TSFAE21d","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event. The event experienced by the subject with the worst toxicity is used."
"TSFAE21d","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE22a","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Race; Safety Analysis Set (Study jjcs - core)"
"TSFAE22a","FOOTNOTE1","Note: Subjects whose race was unknown or not reported are excluded from the summary."
"TSFAE22a","FOOTNOTE2","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE22a","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE22b","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Sex; Safety Analysis Set (Study jjcs - core)"
"TSFAE22b","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE22b","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE22c","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class, Preferred Term, and Age; Safety Analysis Set (Study jjcs - core)"
"TSFAE22c","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE22c","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"GSFAE01","TITLE","Subjects With Treatment-emergent Adverse Events by System Organ Class; Safety Analysis Set (Study jjcs - core)"
"GSFAE02","TITLE","Time to Adverse Events Leading to Permanent Discontinuation of Study Treatment; Safety Analysis Set (Study jjcs - core)"
"GSFAE03","TITLE","Subjects With Treatment-emergent Adverse Events With Frequency =[x]% in [Any Treatment Group] by FDA Medical Query (Narrow); Safety Analysis Set (Study jjcs - core)"
"LSFAE01","TITLE","Listing of Treatment-emergent Adverse Events; Safety Analysis Set (Study jjcs - core)"
"LSFAE01","FOOTNOTE1","Key: *=imputed date, day, or duration"
"LSFAE01","FOOTNOTE2","~{super a} Study day of last administration of [study treatment] prior to or on AE start date."
"LSFAE01","FOOTNOTE3","~{super b} Study day is relative to [the start of [study treatment]]."
"LSFAE01","FOOTNOTE4","~{super c} Relationship is assessed by the investigator."
"LSFAE01","FOOTNOTE5","Note: Adverse events are coded using MedDRA version 26.0~{optional ; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.}."
"LSFAE02","TITLE","Listing of Treatment-emergent Serious Adverse Events; Safety Analysis Set (Study jjcs - core)"
"LSFAE02","FOOTNOTE1","Key: *=imputed date, day, or duration"
"LSFAE02","FOOTNOTE2","~{super a} Study day of last administration of [study treatment] prior to or on AE start date."
"LSFAE02","FOOTNOTE3","~{super b} Study day is relative to [the start of [study treatment]]."
"LSFAE02","FOOTNOTE4","~{super c} Relationship is assessed by the investigator."
"LSFAE02","FOOTNOTE5","Note: Adverse events are coded using MedDRA version 26.0~{optional ; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.}."
"LSFAE03","TITLE","Listing of Treatment-emergent Adverse Events Leading to Permanent Discontinuation of Study Treatment; Safety Analysis Set (Study jjcs - core)"
"LSFAE03","FOOTNOTE1","Key: *=imputed date, day, or duration"
"LSFAE03","FOOTNOTE2","~{super a} Study day of last administration of [study treatment] prior to or on AE start date."
"LSFAE03","FOOTNOTE3","~{super b} Study day is relative to [the start of [study treatment]]."
"LSFAE03","FOOTNOTE4","~{super c} Relationship is assessed by the investigator."
"LSFAE03","FOOTNOTE5","Note: Adverse events are coded using MedDRA version 26.0~{optional ; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.}."
"LSFAE04","TITLE","Listing of Adverse Events Leading to Death; Safety Analysis Set (Study jjcs - core)"
"LSFAE04","FOOTNOTE1","Key: *=imputed date, day, or duration"
"LSFAE04","FOOTNOTE2","~{super a} Study day of last administration of [study treatment] prior to or on AE start date."
"LSFAE04","FOOTNOTE3","~{super b} Study day is relative to [the start of [study treatment]]."
"LSFAE04","FOOTNOTE4","~{super c} Relationship is assessed by the investigator."
"LSFAE04","FOOTNOTE5","Note: Adverse events are coded using MedDRA version 26.0~{optional ; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.}."
"LSFAE05","TITLE","Listing of Treatment-emergent Adverse Events of Special Interest [- Specify AESI Grouping]; Safety Analysis Set (Study jjcs - core)"
"LSFAE05","FOOTNOTE1","Key: *=imputed date, day, or duration"
"LSFAE05","FOOTNOTE2","~{super a} Study day of last administration of [study treatment] prior to or on AE start date."
"LSFAE05","FOOTNOTE3","~{super b} Study day is relative to [the start of [study treatment]]."
"LSFAE05","FOOTNOTE4","~{super c} Relationship is assessed by the investigator."
"LSFAE05","FOOTNOTE5","Note: Adverse events are coded using MedDRA version 26.0~{optional ; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.}."
"LSFAE06a","TITLE","Selected [Narrow / Broad] FDA Medical Queries; Safety Analysis Set (Study jjcs - core)"
"LSFAE06a","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"LSFAE06a","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"LSFAE06a","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0."
"LSFAE06b","TITLE","Selected [Narrow / Broad] FDA Medical Queries; Safety Analysis Set (Study jjcs - core)"
"LSFAE06b","FOOTNOTE1","Key: FMQ=FDA Medical Query"
"LSFAE06b","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"LSFAE06b","FOOTNOTE3","Note: Adverse events are coded using MedDRA version 26.0; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE23a","TITLE","Subjects With Related Treatment-emergent Serious Adverse Events by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE23a","FOOTNOTE1","Note: An AE is assessed by the investigator as related. Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE23a","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE23b","TITLE","Subjects With Related Fatal Treatment-emergent Adverse Events by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE23b","FOOTNOTE1","Note: An AE is assessed by the investigator as related. Fatal AEs are based on AE outcome of Fatal. Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE23b","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE23c","TITLE","Subjects With Related Treatment-emergent Adverse Events Leading to Discontinuation of Study Treatment by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE23c","FOOTNOTE1","Note: An AE is assessed by the investigator as related. Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE23c","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE23d","TITLE","Subjects With Related Non-serious Treatment-emergent Adverse Events by Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE23d","FOOTNOTE1","Note: An AE is assessed by the investigator as related. Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE23d","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE24a","TITLE","Overall Summary of [Treatment-emergent Adverse Events] by Severity; Safety Analysis Set (Study jjcs - core)"
"TSFAE24a","FOOTNOTE1","Note: The worst severity event experienced by the subject is used. If a subject has all adverse events with missing severities, the subject is only counted as missing."
"TSFAE24b","TITLE","Overall Summary of [Treatment-emergent Adverse Events] by Toxicity Grade; Safety Analysis Set (Study jjcs - core)"
"TSFAE24b","FOOTNOTE1","Note: The worst toxicity event experienced by the subject is used. If a subject has all adverse events with missing toxicities, the subject is only counted as missing."
"TSFAE24b","FOOTNOTE2","Note: Toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE24c","TITLE","Subjects With Treatment-emergent Adverse Events and Related Treatment-emergent Adverse Events by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE24c","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event. An AE is assessed by the investigator as related."
"TSFAE24c","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE24d","TITLE","Subjects With Treatment-emergent Adverse Events Toxicity Grade =3 With Frequency =[x]% in [Any Treatment Group] by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TSFAE24d","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TSFAE24d","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0; toxicity grade is evaluated according to NCI-CTCAE version &ctcae.."
"TSFAE24e","TITLE","Subjects With [Treatment-emergent Adverse Events] With Frequency =[x]% in [Any Treatment Group] by System Organ Class and Preferred Term and First Onset Time; Safety Analysis Set (Study jjcs - core)"
"TSFAE24e","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event. The event experienced by the subject with the first onset relative to [the start of [study treatment]] is summarized. If a subject has all adverse events with missing onset date, the subject is only counted in the total column. Percentages are calculated using the number of subjects at each time category as the denominator."
"TSFAE24e","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFAE24f","TITLE","Subjects With [Treatment-emergent Adverse Events] With Frequency =[x]% in [Any Treatment Group] by System Organ Class and Preferred Term and Onset Time; Safety Analysis Set (Study jjcs - core)"
"TSFAE24f","FOOTNOTE1","Note: Subjects are counted only once for any given event within  a time category, regardless of the number of times they actually experienced the event. The event experienced by the subject with the first onset relative to [the start of [study treatment]] is summarized. If a subject has all adverse events with missing onset date, the subject is only counted in the total column. Percentages are calculated using the number of subjects at each time category as the denominator."
"TSFAE24f","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
"TSFDTH01","TITLE","Deaths; Safety Analysis Set (Study jjcs - core)"
"TSFDTH01","FOOTNOTE1","Note: Cause of death is coded using MedDRA version 26.0."
"LSFDTH01","TITLE","Listing of Deaths; Safety Analysis Set (Study jjcs - core)"
"LSFDTH01","FOOTNOTE1","~{super a} Duration of treatment is defined as [(date of last dose of [study treatment]– date of first dose of [study treatment]) +1]."
"LSFDTH01","FOOTNOTE2","~{super b} Study day of last dose is defined as date of last dose–[the start of [study treatment]]+1."
"LSFDTH01","FOOTNOTE3","~{super c} Days from last [study treatment] administration to death=date of death–date of last dose of [study treatment]."
"LSFDTH01","FOOTNOTE4","~{super d} Study day of death is defined as: date of death–[the start of [study treatment]+1."
"LSFDTH01","FOOTNOTE5","Note: Cause of death is coded using MedDRA version 26.0."
"TSFLAB01","TITLE","Mean Change From Baseline for [Laboratory Category] Laboratory Data Over Time; Safety Analysis Set (Study jjcs - core)"
"TSFLAB01a","TITLE","Mean Change From Baseline for [Laboratory Category] Laboratory Data Over Time by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFLAB02","TITLE","Subjects With =1 [Laboratory Category] Laboratory Values With Elevated or Low Values Meeting Specified Levels Based on Worst On-treatment Value; Safety Analysis Set (Study jjcs - core)"
"TSFLAB02","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB02","FOOTNOTE2","Note: Subjects are counted once per laboratory test category (ie, low, high) based on the worst categorization."
"TSFLAB02a","TITLE","Subjects With =1 [Laboratory Category] Laboratory Values With Elevated or Low Values Meeting Specified Levels Based on Worst On-treatment Value by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFLAB02a","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent} laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB02a","FOOTNOTE2","Note: Subjects are counted once per laboratory test category (ie, low, high) based on the worst categorization."
"TSFLAB02b","TITLE","Subjects With [Laboratory Category] Laboratory Values With Elevated or Low Values Meeting Specified Levels Over Time; Safety Analysis Set (Study jjcs - core)"
"TSFLAB02c","TITLE","Subjects With =1 [Treatment-emergent] [Laboratory Category] Laboratory Value Meeting Specified Criteria; Safety Analysis Set (Study jjcs - core)"
"TSFLAB02c","FOOTNOTE1","Note: On-treatment is defined as treatment-emergent laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [Treatment-emergent values are those that worsened from baseline.]"
"TSFLAB03","TITLE","Subjects With =1 Laboratory Values With Elevated or Low Values Based on Worst On-treatment Value Using NCI-CTCAE Criteria; Safety Analysis Set (Study jjcs - core)"
"TSFLAB03","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB03","FOOTNOTE2","Note: NCI-CTCAE grades (version &ctcae.) are based on the laboratory result and do not take into account the clinical component, if applicable."
"TSFLAB03a","TITLE","Subjects With =1 Laboratory Values With Elevated or Low Values Based on Worst On-treatment Value Using NCI-CTCAE Criteria by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFLAB03a","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB03a","FOOTNOTE2","Note: NCI-CTCAE grades (version &ctcae.) are based on the laboratory result and do not take into account the clinical component, if applicable."
"TSFLAB04a","TITLE","Subjects With [Last/Any] On-treatment Chemistry Values [= Level 2] Criteria; Safety Analysis Set (Study jjcs - core)"
"TSFLAB04a","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent} laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB04b","TITLE","Subjects With [Last/Any] On-treatment Hematology Values [= Level 2] Criteria; Safety Analysis Set (Study jjcs - core)"
"TSFLAB04b","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent} laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB05","TITLE","Subjects With [Last/Any] On-treatment Laboratory Values [= Grade 2] Based on NCI-CTCAE Criteria; Safety Analysis Set (Study jjcs - core)"
"TSFLAB05","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }laboratory values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFLAB05","FOOTNOTE2","Note: NCI-CTCAE grades (version &ctcae.) are based on the laboratory result and do not take into account the clinical component, if applicable."
"TSFLAB06","TITLE","Shift in [Laboratory Category] Laboratory Values From Baseline to [Time Point]; Safety Analysis Set (Study jjcs - core)"
"TSFLAB06","FOOTNOTE1","Note: N is the number of subjects with non-missing values for the lab test at baseline and [Time Point]."
"TSFLAB07","TITLE","Shift in Laboratory Values From Baseline to Worst Grade [During Time Period] Based on NCI-CTCAE Criteria; Safety Analysis Set (Study jjcs - core)"
"TSFLAB07","FOOTNOTE1","Note: N is the number of subjects with non-missing values for the specific lab test at baseline and at least 1 postbaseline visit within the time period."
"TSFLAB07","FOOTNOTE2","Note: NCI-CTCAE grades (version &ctcae.) are based on the laboratory result and do not take into account the clinical component, if applicable."
"GSFLAB01","TITLE","Mean Change From Baseline for [Laboratory Category] Laboratory Data Over Time; Safety Analysis Set (Study jjcs - core)"
"GSFLAB01","FOOTNOTE1","Note: Results are provided from baseline until [<5 to 10%] of subjects in the analysis set remain in study."
"GSFLAB01a","TITLE","Mean Change From Baseline for [Laboratory Category] Laboratory Data Over Time by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"GSFLAB01a","FOOTNOTE1","Note: Results are provided from baseline until [<5 to 10%] of subjects in the analysis set remain in study."
"GSFLAB02","TITLE","Median and Interquartile Range for [Laboratory Category / Laboratory Test] Over Time; Safety Analysis Set (Study jjcs - core)"
"GSFLAB02","FOOTNOTE1","Note: Boxes span the interquartile range (25th to 75th percentile); horizontal line=median; whiskers=1.5x the interquartile range; individual outliers are those beyond this range."
"GSFLAB05","TITLE","Proportion of Subjects Remaining With Missing and Existing [Liver Function Laboratory Test] Data Records; Safety Analysis Set (Study jjcs - core)"
"GSFLAB05","FOOTNOTE1","Note: The frequency of laboratory measurements presented is based on actual data collected."
"LSFLAB01","TITLE","Listing of Subjects With [Criteria] Laboratory Values; Safety Analysis Set (Study jjcs - core)"
"LSFLAB01","FOOTNOTE1","Key: [CS=clinically significant]"
"LSFLAB01","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"TSFVIT01","TITLE","Mean Change From Baseline in Blood Pressure Over Time; Safety Analysis Set (Study jjcs - core)"
"TSFVIT01a","TITLE","Mean Change From Baseline in Blood Pressure Over Time by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFVIT02","TITLE","Subjects With Maximum On-treatment Systolic Blood Pressure by Category of Blood Pressure; Safety Analysis Set (Study jjcs - core)"
"TSFVIT02","FOOTNOTE1","Note: On-treatment is defined as blood pressure values obtained after the first dose and within [30 days] following treatment discontinuation."
"TSFVIT03","TITLE","Subjects With Maximum On-treatment Diastolic Blood Pressure by Category of Blood Pressure; Safety Analysis Set (Study jjcs - core)"
"TSFVIT03","FOOTNOTE1","Note: On-treatment is defined as blood pressure values obtained after the first dose and within [30 days] following treatment discontinuation."
"TSFVIT04","TITLE","Subjects Meeting Specific On-treatment Hypotension Levels; Safety Analysis Set (Study jjcs - core)"
"TSFVIT04","FOOTNOTE1","Note: On-treatment is defined as blood pressure values obtained after the first dose and within [30 days] following treatment discontinuation."
"TSFVIT05","TITLE","Subjects With On-treatment Clinically Important Vital Signs [Over Time]; Safety Analysis Set (Study jjcs - core)"
"TSFVIT05","FOOTNOTE1","Note: Clinically important vital signs are defined in the Statistical Analysis Plan. N is the number of subjects with at least 1 postbaseline value for the specified vital sign parameter."
"TSFVIT05","FOOTNOTE2","Note: On-treatment is defined as values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Only treatment-emergent values (those that worsened from baseline) are presented.}]"
"TSFVIT06","TITLE","Subjects With Treatment-emergent Orthostatic Hypotension During [Treatment Period]; Safety Analysis Set (Study jjcs - core)"
"TSFVIT06","FOOTNOTE1","Key: STD=standing, SUP=supine"
"TSFVIT06","FOOTNOTE2","Note: N is the number of subjects with postbaseline orthostatic measurements and without orthostatic hypotension at baseline. N includes subjects with missing baseline evaluation. Orthostatic hypotension is defined as an absolute decrease in systolic (>20 mmHg) or diastolic (>10 mmHg) blood pressure after standing for at least 2 minutes relative to supine position."
"GSFVIT01","TITLE","Mean and 95% Confidence Interval of Blood Pressure Over Time; Safety Analysis Set (Study jjcs - core)"
"GSFVIT01","FOOTNOTE1","Note: Results are provided from baseline until [<5 to 10%] of subjects in the analysis set remain in study."
"GSFVIT01a","TITLE","Mean and 95% Confidence Interval of Blood Pressure Over Time by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"GSFVIT01a","FOOTNOTE1","Note: Results are provided from baseline until [<5 to 10%] of subjects in the analysis set remain in study."
"GSFVIT02","TITLE","Median and Interquartile Range of [Vital Sign Parameter] Over Time; Safety Analysis Set (Study jjcs - core)"
"GSFVIT02","FOOTNOTE1","Note: Boxes span the interquartile range (25th to 75th percentile); horizontal line=median; whiskers=1.5x the interquartile range; individual outliers are those beyond this range."
"GSFVIT03","TITLE","Baseline vs. Maximum On-treatment [Vital Sign Parameter]; Safety Analysis Set (Study jjcs - core)"
"GSFVIT03","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }[blood pressure] values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"GSFVIT03","FOOTNOTE2","Note: Dotted line in diagonal=no increase; other dash and/or solid lines = linear regression"
"GSFVIT04","TITLE","Baseline vs. Minimum On-treatment [Vital Sign Parameter]; Safety Analysis Set (Study jjcs - core)"
"GSFVIT04","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }[blood pressure] values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"GSFVIT04","FOOTNOTE2","Note: Dotted line in diagonal=no increase; other dash and/or solid lines = linear regression"
"GSFVIT05","TITLE","Proportion of Subjects Remaining With Missing and Existing [Vital Sign Parameter] Data Records; Safety Analysis Set (Study jjcs - core)"
"GSFVIT05","FOOTNOTE1","Note: The frequency of vital sign measurements presented is based on actual data collected."
"LSFVIT01","TITLE","Listing of Subjects With Clinically Important Vital Signs; Safety Analysis Set (Study jjcs - core)"
"LSFVIT01","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"LSFVIT02","TITLE","Listing of Vital Signs; Safety Analysis Set (Study jjcs - core)"
"LSFVIT02","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"TSFECG01","TITLE","Mean Change From Baseline for ECG Data Over Time; Safety Analysis Set (Study jjcs - core)"
"TSFECG01a","TITLE","Mean Change From Baseline for ECG Data Over Time by [Subgroup]; Safety Analysis Set (Study jjcs - core)"
"TSFECG02","TITLE","Categorized Corrected QT Interval Values Over Time; Safety Analysis Set (Study jjcs - core)"
"TSFECG02","FOOTNOTE1","Note: N is the number of subjects with a non-missing value for the ECG parameter at the specified time point."
"TSFECG03","TITLE","Categorized Change From Baseline to Maximum On-treatment Corrected QT Interval; Safety Analysis Set (Study jjcs - core)"
"TSFECG03","FOOTNOTE1","Note: On-treatment is defined as QTc interval values obtained after the first dose and within [30 days] following treatment discontinuation."
"TSFECG03","FOOTNOTE2","Note: N is the number of subjects with at least 1 non-missing change from baseline value for the ECG parameter over the specified time period."
"TSFECG04","TITLE","Shift From Baseline to Maximum On-treatment Corrected QT Interval; Safety Analysis Set (Study jjcs - core)"
"TSFECG04","FOOTNOTE1","Note: On-treatment is defined as QTc interval values obtained after the first dose and within [30 days] following treatment discontinuation."
"TSFECG04","FOOTNOTE2","Note: N is the number of subjects with non-missing values for the ECG parameter at baseline and at least 1 postbaseline visit."
"TSFECG05","TITLE","Subjects With ECG Values Outside Specified Limits Based on On-treatment Value and Over Time; Safety Analysis Set (Study jjcs - core)"
"TSFECG05","FOOTNOTE1","Note: On-treatment is defined as ~{optional treatment-emergent }ECG values obtained after the first dose and within [30 days] following treatment discontinuation. [~{optional Treatment-emergent values are those that worsened from baseline.}]"
"TSFECG05","FOOTNOTE2","Note: Specified limits are defined in the Statistical Analysis Plan. N is the number of subjects with at least 1 postbaseline value for the specified ECG parameter."
"GSFECG01","TITLE","[Mean/Mean Change] and 95% Confidence Interval of ECG Parameters Over Time; Safety Analysis Set (Study jjcs - core)"
"GSFECG01","FOOTNOTE1","Note: Results are provided from baseline until [<5 to 10%] of subjects in the analysis set remain in study."
"LSFECG01","TITLE","Listing of Subjects With [Criteria] ECG Values; Safety Analysis Set (Study jjcs - core)"
"LSFECG01","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"LSFECG02","TITLE","Listing of ECG Values; Safety Analysis Set (Study jjcs - core)"
"LSFECG02","FOOTNOTE1","~{super a} Study day is relative to [the start of [study treatment]]."
"TPK01a","TITLE","[Matrix] [Active Study Agent/Analyte] Concentrations ([units]) Over Time; Pharmacokinetics Analysis Set (Study jjcs - core)"
"TPK01a","FOOTNOTE1","Note: Incongruous samples are not included in this summary."
"TPK01a","FOOTNOTE2","Note: Concentrations below the lowest quantifiable concentration (ie, [x.xx ng/mL]) will be treated as zero in calculating the summary statistics."
"TPK01b","TITLE","[Matrix] [Active Study Agent/Analyte] Concentrations ([units]) Over Time; Pharmacokinetics Analysis Set (Study jjcs - core)"
"TPK01b","FOOTNOTE1","Note: Incongruous samples are not included in this summary."
"TPK01b","FOOTNOTE2","Note: Concentrations below the lowest quantifiable concentration (ie, [xx.x ng/mL]) will be treated as zero in calculating the summary statistics."
"TPK02","TITLE","[Matrix] [Active Study Agent/Analyte] Concentrations ([units]) Over Time by [Body Weight] [Quartiles]; Pharmacokinetics Analysis Set (Study jjcs - core)"
"TPK02","FOOTNOTE1","Note: Incongruous samples are not included in this summary."
"TPK02","FOOTNOTE2","Note: Concentrations below the lowest quantifiable concentration (ie, [x.xx ng/mL]) will be treated as zero in calculating the summary statistics."
"TPK03","TITLE","Subjects With [Matrix] [Active Study Agent/Analyte] Concentrations Below the Lowest Quantification Level ([LLOQ/LLOQxMRD and units]) Over Time; Pharmacokinetics Analysis Set (Study jjcs - core)"
"TPK03","FOOTNOTE1","Key: MRD=minimum required dilution"
"TPK04","TITLE","[Efficacy Endpoint] Response at [Time Point] by [Matrix] [Active Study Agent/Analyte] Concentrations ([units]); Full Analysis Set (Study jjcs - core)"
"GPK01","TITLE","Mean and [95% Confidence Interval/Standard Deviation] of [Matrix] [Active Study Agent/Analyte] Concentrations ([units]) Over Time; Pharmacokinetics Analysis Set (Study jjcs - core)"
"GPK01","FOOTNOTE1","Note: At each time point, the error bars are mean +/-[1.96*standard error (95% CI)/SD]."
"GPK01","FOOTNOTE2","Note: Concentration values below LLOQxMRD are considered as 0."
"GPK02","TITLE","Mean and [95% Confidence Interval/Standard Deviation] of [Matrix] [Active Study Agent/Analyte] Concentrations ([units]) Over Time by [Body Weight] [Quartiles]; Pharmacokinetics Analysis Set (Study jjcs - core)"
"GPK02","FOOTNOTE1","Note: At each time point, the error bars are mean +/-[1.96*standard error (95% CI)/SD]."
"GPK02","FOOTNOTE2","Note: Concentration values below LLOQxMRD are considered as 0."
"GPK03","TITLE","Subjects Achieving [Parameter Criteria] at [Time Point] by Trough [Matrix] [Active Study Agent/Analyte] Concentrations; Full Analysis Set (Study jjcs - core)"
"GPK04","TITLE","Median [Interquartile Range] [Trough] [Matrix] [Active Study Agent/Analyte] Concentrations ([units]) Over Time; Pharmacokinetics Analysis Set (Study jjcs - core)"
"GPK04","FOOTNOTE1","Note: Concentration values below LLOQxMRD are considered as 0."
"LPK01","TITLE","Listing of Individual [Matrix] Concentrations of [Active Study Agent/Analyte] ([units]); Pharmacokinetics Analysis Set (Study jjcs - core)"
